Jahr;Ges;Start_Time_of_day;Name;Runner_Number;FK_Time;Pace_per_Mile;Place_Overall;Place_Gender;Age_Group;Place_Age_Group;Place_Age_Graded;Time_Age_Graded;Gun_Time;5K_Time;10K_Time;15K_Time;20K_Time;HK_Time;25K_Time;30K_Time;35K_Time;40K_Time
2015;M;8:30AM;Stanley Biwott; 5;2:10:34;04:59;1;1;(25-29);1;2;2:10:34;2:10:34;0:15:50;0:31:32;0:47:30;1:03:14;1:06:51;1:19:39;1:34:58;1:49:47;2:04:07
2015;M;8:30AM;Geoffery Kamworor; 6;2:10:48;05:00;2;2;(20-24);1;3;2:10:48;2:10:48;0:15:48;0:31:32;0:47:29;1:03:15;1:06:51;1:19:39;1:34:57;1:49:47;2:04:11
2015;M;8:30AM;Lelisa Desisa; 2;2:12:10;05:03;3;3;(25-29);2;4;2:12:10;2:12:10;0:15:47;0:31:33;0:47:29;1:03:15;1:06:50;1:19:39;1:34:58;1:49:47;2:04:51
2015;M;8:30AM;Wilson Kipsang; 1;2:12:45;05:04;4;4;(30-34);1;5;2:12:36;2:12:45;0:15:48;0:31:33;0:47:29;1:03:15;1:06:51;1:19:40;1:34:58;1:50:13;2:05:57
2015;M;8:30AM;Yemane Tsegay; 7;2:13:24;05:06;5;5;(30-34);2;6;2:13:24;2:13:24;0:15:47;0:31:31;0:47:29;1:03:14;1:06:51;1:19:39;1:34:57;1:50:31;2:06:27
2015;M;8:30AM;Yuki Kawauchi;11;2:13:29;05:06;6;6;(25-29);3;7;2:13:29;2:13:29;0:15:49;0:31:33;0:47:29;1:03:16;1:06:50;1:19:40;1:34:57;1:50:41;2:06:40
2015;M;8:30AM;Meb Keflezighi; 4;2:13:32;05:06;7;7;(40-44);1;1;2:09:52;2:13:32;0:15:50;0:31:32;0:47:29;1:03:15;1:06:51;1:19:38;1:34:59;1:50:41;2:06:41
2015;M;8:30AM;Craig Leon;16;2:15:16;05:10;8;8;(30-34);3;8;2:15:16;2:15:16;0:15:49;0:31:34;0:47:32;1:03:26;1:06:52;1:19:42;1:35:20;1:51:21;2:07:57
2015;M;8:30AM;Birhanu Dare Kemal;59;2:15:40;05:11;9;9;(25-29);4;9;2:15:40;2:15:40;0:15:48;0:31:30;0:47:29;1:03:14;1:06:49;1:19:40;1:34:59;1:51:14;2:08:25
2015;M;8:30AM;Kevin Chelimo;12;2:15:49;05:11;10;10;(30-34);4;10;2:15:47;2:15:49;0:15:50;0:31:35;0:47:31;1:03:26;1:06:53;1:19:42;1:35:19;1:51:20;2:08:15
2015;W;8:30AM;Mary Keitany;101;2:24:25;05:31;19;1;(30-34);1;2;2:24:03;2:24:25;0:17:21;0:34:29;0:51:55;1:09:04;1:12:56;1:26:41;1:43:32;1:59:55;2:16:38
2015;W;8:30AM;Aselefech Mergia;109;2:25:32;05:34;21;2;(30-34);2;4;2:25:32;2:25:32;0:17:21;0:34:30;0:51:56;1:09:05;1:12:58;1:26:40;1:43:32;2:00:33;2:18:11
2015;W;8:30AM;Tigist Tufa;105;2:25:50;05:34;22;3;(25-29);1;5;2:25:50;2:25:50;0:17:21;0:34:29;0:51:55;1:09:03;1:12:57;1:26:40;1:43:33;2:00:08;2:18:00
2015;W;8:30AM;Sara Moreira;103;2:25:53;05:34;23;4;(30-34);3;6;2:25:53;2:25:53;0:17:21;0:34:28;0:51:55;1:09:04;1:12:56;1:26:39;1:43:32;2:00:32;2:18:12
2015;W;8:30AM;Christelle Daunay;111;2:26:57;05:37;26;5;(40-44);1;1;2:22:32;2:26:57;0:17:22;0:34:31;0:51:56;1:09:06;1:12:58;1:26:43;1:43:33;2:01:11;2:19:14
2015;W;8:30AM;Priscah Jeptoo;108;2:27:03;05:37;27;6;(30-34);4;7;2:27:01;2:27:03;0:17:23;0:34:31;0:51:56;1:09:05;1:12:58;1:26:42;1:43:32;2:00:11;2:18:22
2015;W;8:30AM;Laura Thweatt;115;2:28:23;05:40;29;7;(25-29);2;8;2:28:23;2:28:23;0:17:23;0:34:31;0:51:56;1:09:06;1:12:57;1:26:39;1:43:32;2:01:11;2:20:00
2015;W;8:30AM;Jelena Prokopcuka;104;2:28:46;05:41;30;8;(35-39);1;3;2:25:09;2:28:46;0:17:22;0:34:36;0:52:04;1:09:36;1:13:25;1:27:32;1:44:50;2:02:32;2:20:57
2015;W;8:30AM;Anna Incerti;112;2:33:13;05:51;47;9;(35-39);2;9;2:32:05;2:33:13;0:17:22;0:34:38;0:52:22;1:10:12;1:14:08;1:28:47;1:46:46;2:05:28;2:24:58
2015;W;8:30AM;Caroline Rotich;102;2:33:19;05:51;48;10;(30-34);5;11;2:33:17;2:33:19;0:17:22;0:34:29;0:51:56;1:09:04;1:12:57;1:26:39;1:43:32;2:02:30;2:23:49
