Jahr;Ges;Name;Number;Time;Time_Chip ;Place;5K_Time;10K_Time;15K_Time;20K_Time;HK_Time;25K_Time;30K_Time;35K_Time;40K_Time;FK_Time
2009;M;Salim Kipsang;4;2:10:27;2:10:25;1;0:15:01;0:30:11;0:45:35;1:00:49;1:04:17;1:16:14;1:31:46;1:47:13;2:03:10;2:10:27
2009;M;Kazuhiro Maeda;187;2:11:01;2:10:58;2;0:15:03;0:30:12;0:45:37;1:00:51;1:04:17;1:16:16;1:31:47;1:47:29;2:03:47;2:11:01
2009;M;Kensuke Takahashi;103;2:11:25;2:11:22;3;0:15:01;0:30:10;0:45:34;1:00:50;1:04:15;1:16:14;1:31:46;1:47:13;2:04:03;2:11:25
2009;M;Sammy Coryl;1;2:11:57;2:11:55;4;0:15:01;0:30:12;0:45:35;1:00:50;1:04:15;1:16:14;1:31:46;1:47:13;2:04:06;2:11:57
2009;M;Kenta Oshima;118;2:12:54;2:12:51;5;0:15:00;0:30:10;0:45:34;1:00:49;1:04:15;1:16:15;1:31:47;1:48:17;2:05:15;2:12:54
2009;M;Tomoyuki Sato;15;2:13:12;2:13:10;6;0:15:02;0:30:13;0:45:37;1:00:51;1:04:16;1:16:16;1:31:47;1:47:56;2:05:17;2:13:12
2009;M;Domitro Baranovsky;3;2:13:27;2:13:25;7;0:15:03;0:30:11;0:45:34;1:00:49;1:04:15;1:16:14;1:31:46;1:48:25;2:05:58;2:13:27
2009;M;Asnake Lolo;7;2:13:40;2:13:36;8;0:15:02;0:30:11;0:45:35;1:00:50;1:04:15;1:16:22;1:32:08;1:48:45;2:05:51;2:13:40
2009;M;Kentaro Nakamoto;113;2:13:53;2:13:49;9;0:15:03;0:30:12;0:45:36;1:00:51;1:04:16;1:16:16;1:31:47;1:48:01;2:05:32;2:13:53
2009;M;Atsushi Fujita;12;2:14:00;2:13:57;10;0:15:04;0:30:13;0:45:37;1:00:52;1:04:17;1:16:16;1:31:47;1:48:01;2:05:43;2:14:00
2009;W;Mizuho Nasukawa;35;2:25:38;2:25:36;1;0:17:01;0:34:19;0:51:34;1:08:34;1:12:19;1:25:31;1:42:33;1:59:53;2:17:39;2:25:38
2009;W;Yukari Saeki;36;2:28:55;2:28:52;2;0:17:02;0:34:18;0:51:33;1:08:33;1:12:17;1:25:31;1:42:38;2:00:52;2:20:11;2:28:55
2009;W;Reiko Tosa;31;2:29:19;2:29:17;3;0:17:03;0:34:21;0:51:56;1:09:26;1:13:19;1:27:02;1:44:55;2:03:06;2:21:23;2:29:19
2009;W;Aleftina Victimirois;21;2:29:33;2:29:30;4;0:17:02;0:34:22;0:51:56;1:09:27;1:13:19;1:26:32;1:43:52;2:01:54;2:20:54;2:29:33
2009;W;Sitaie Gemechu;23;2:29:59;2:29:56;5;0:17:01;0:34:17;0:51:33;1:08:33;1:12:17;1:25:31;1:42:36;2:00:03;2:20:19;2:29:59
2009;W;Kiyoko Shimahara;34;2:31:57;2:31:54;6;0:17:01;0:34:19;0:51:56;1:09:42;1:13:41;1:27:46;1:46:04;2:04:43;2:23:39;2:31:57
2009;W;Hiromi Ominami;33;2:32:11;2:32:09;7;0:17:01;0:34:17;0:51:34;1:08:33;1:12:19;1:26:00;1:44:11;2:03:24;2:23:31;2:32:11
2009;W;Luminica Tarpos;24;2:32:22;2:32:19;8;0:17:01;0:34:19;0:51:56;1:09:27;1:13:19;1:27:02;1:45:04;2:04:19;2:23:56;2:32:22
2009;W;Pamela Chepchumba;22;2:32:40;2:32:37;9;0:17:01;0:34:20;0:51:56;1:09:27;1:13:19;1:27:03;1:45:10;2:04:19;2:23:56;2:32:40
2009;W;Harumi Hiroyama;32;2:35:39;2:35:36;10;0:17:26;0:34:55;0:52:32;1:10:05;1:13:59;1:28:00;1:46:44;2:06:29;2:26:55;2:35:39
