Jahr;Ges;Name;Number;Time;Time_Chip ;Place;5K_Time;10K_Time;15K_Time;20K_Time;HK_Time;25K_Time;30K_Time;35K_Time;40K_Time;FK_Time
2007;M;ダニエル・ジェンガ;2;2:09:45;2:09:45;1;0:15:05;0:30:18;0:45:49;1:01:21;1:04:50;1:17:13;1:32:04;1:47:11;2:02:43;2:09:45
2007;M;佐藤 智之;34;2:11:22;2:11:22;2;0:15:06;0:30:19;0:45:51;1:01:22;1:04:51;1:17:15;1:32:39;1:48:32;2:04:22;2:11:22
2007;M;入船 敏;32;2:12:44;2:12:43;3;0:15:05;0:30:18;0:45:50;1:01:21;1:04:50;1:17:15;1:32:39;1:48:32;2:05:05;2:12:44
2007;M;林 昌史;101;2:15:28;2:15:28;4;0:15:06;0:30:20;0:45:51;1:01:22;1:04:50;1:17:15;1:32:50;1:49:16;2:06:55;2:15:28
2007;M;徳本 一善;178;2:15:55;2:15:54;5;0:15:05;0:30:18;0:45:51;1:01:21;1:04:50;1:17:14;1:32:39;1:48:45;2:07:04;2:15:55
2007;M;バンデルレイ・デリマ;3;2:16:08;2:16:08;6;0:15:05;0:30:18;0:45:47;1:01:22;1:04:50;1:17:14;1:33:18;1:50:28;2:08:10;2:16:08
2007;M;小林 誠治;102;2:17:13;2:17:12;7;0:15:06;0:30:19;0:45:51;1:01:22;1:04:50;1:17:15;1:33:57;1:51:24;2:09:11;2:17:13
2007;M;板山 学;103;2:17:29;2:17:28;8;0:15:04;0:30:17;0:45:47;1:01:21;1:04:49;1:17:23;1:34:17;1:51:43;2:09:33;2:17:29
2007;M;河南 耕二;185;2:18:03;2:18:02;9;0:15:06;0:30:18;0:45:50;1:01:22;1:04:51;1:17:15;1:33:57;1:51:24;2:09:30;2:18:03
2007;M;モーゲス・タイエ;61;2:18:20;2:18:20;10;0:15:07;0:30:43;0:46:33;1:02:49;1:06:29;1:19:17;1:36:00;1:52:56;2:10:26;2:18:20
2007;W;新谷 仁美;F34001;2:31:01;2:31:00;1;0:18:41;0:36:00;0:53:10;1:10:36;1:14:23;1:27:42;1:45:01;2:03:19;2:22:26;2:31:01
2007;W;谷川 真理;F56;2:49:54;2:49:53;2;0:19:27;0:39:29;0:59:41;1:20:07;1:24:38;1:40:33;2:00:12;2:20:07;2:40:33;2:49:54
2007;W;田中 光;F34009;2:50:02;2:49:15;3;0:20:29;0:40:09;1:00:19;1:20:12;1:24:37;1:40:22;2:00:54;2:21:16;2:41:14;2:50:02
2007;W;レノン マイアナ;F34016;2:52:04;2:52:00;4;0:19:25;0:39:17;0:59:06;1:19:19;1:23:53;1:39:54;2:00:32;2:21:15;2:42:30;2:52:04
2007;W;有森 裕子;F51;2:52:45;2:52:44;5;0:18:48;0:38:10;0:57:22;1:17:00;1:21:25;1:38:14;1:59:28;2:21:15;2:43:03;2:52:45
2007;W;須田 由美子;F34004;2:55:31;2:55:28;6;0:19:20;0:38:57;0:58:41;1:18:45;1:23:12;1:38:57;1:59:42;2:21:28;2:45:13;2:55:31
2007;W;阿部 三千代;F34024;2:56:14;2:55:58;7;0:20:51;0:41:16;1:01:40;1:22:18;1:26:54;1:43:08;2:04:09;2:25:16;2:46:49;2:56:14
2007;W;石川 純子;F34008;2:56:20;2:56:16;8;0:20:13;0:40:32;1:00:48;1:21:32;1:26:10;1:42:51;2:04:06;2:25:26;2:47:02;2:56:20
2007;W;本城 莉美;F34014;2:57:03;2:55:59;9;0:24:39;0:46:19;1:07:05;1:28:02;1:32:45;1:48:46;2:09:30;2:29:12;2:48:39;2:57:03
2007;W;工藤 真実;F34034;2:57:21;2:57:14;10;0:20:20;0:40:45;1:01:21;1:22:19;1:27:03;1:43:46;2:05:19;2:26:39;2:48:00;2:57:21
