Jahr;Ort;Geschlecht;Vorname;Nachname;Platz;Datum;Startzeit;T_KM_FN;T_KM_5;T_KM_10;T_KM_15;T_KM_20;T_KM_HM;T_KM_25;T_KM_30;T_KM_35;T_KM_40
2019;Berlin;M;Kenenisa;Bekele;1;;;02:01:41;00:14:24;00:28:53;00:43:29;00:57:58;01:01:05;01:12:30;01:26:55;01:41:15;01:55:30
2019;Berlin;M;Birhanu;Legese;2;;;02:02:48;00:14:25;00:28:53;00:43:29;00:57:58;01:01:05;01:12:30;01:26:53;01:41:02;01:56:00
2019;Berlin;M;Sisay;Lemma;3;;;02:03:36;00:14:25;00:28:52;00:43:29;00:57:58;01:01:06;01:12:31;01:26:53;01:41:16;01:56:54
2019;Berlin;M;Jonathan;Korir;4;;;02:06:45;00:14:25;00:28:53;00:43:30;00:57:58;01:01:06;01:12:31;01:27:42;01:43:39;01:59:49
2019;Berlin;M;Felix;Kandie;5;;;02:08:07;00:14:43;00:29:30;00:44:19;00:59:06;01:02:20;01:14:04;01:28:58;01:44:10;02:00:27
2019;Berlin;M;Yohanes;Gebregergish;6;;;02:08:26;00:14:44;00:29:30;00:44:20;00:59:06;01:02:21;01:14:04;01:29:12;01:44:24;02:00:43
2019;Berlin;M;Guojian;Dong;7;;;02:08:28;00:14:44;00:29:30;00:44:24;00:59:18;01:02:34;01:14:32;01:29:58;01:45:26;02:01:22
2019;Berlin;M;Bethwel;Yegon;8;;;02:08:35;00:14:43;00:29:30;00:44:20;00:59:07;01:02:21;01:14:12;01:29:38;01:45:02;02:01:12
2019;Berlin;M;Kenta;Murayama;9;;;02:08:56;00:14:44;00:29:30;00:44:19;00:59:06;01:02:21;01:14:04;01:29:38;01:45:02;02:01:35
2019;Berlin;M;Abel;Kipchumba;10;;;02:09:39;00:14:43;00:29:31;00:44:18;00:59:06;01:02:20;01:14:05;01:28:59;01:44:13;02:01:14
2019;Berlin;W;Ashete;Bekere;1;;;02:20:14;00:16:53;00:33:29;00:50:12;01:06:41;01:10:20;01:23:12;01:39:52;01:56:36;02:13:09
2019;Berlin;W;Mare;Dibaba;2;;;02:20:21;00:16:53;00:33:29;00:50:12;01:06:41;01:10:20;01:23:12;01:39:52;01:56:36;02:13:09
2019;Berlin;W;Sally;Chepyego;3;;;02:21:06;00:16:53;00:33:29;00:50:13;01:06:41;01:10:20;01:23:12;01:39:52;01:56:36;02:13:26
2019;Berlin;W;Helen;Tola;4;;;02:21:36;00:16:52;00:33:29;00:50:12;01:06:41;01:10:20;01:23:13;01:39:52;01:56:37;02:13:56
