Jahr;Ort;Geschlecht;Vorname;Nachname;Platz;Datum;Startzeit;Datum_Startzeit_UTC;T_KM_5;S_KM_5;T_KM_10;S_KM_10;T_KM_15;S_KM_15;T_KM_20;S_KM_20;T_KM_HM;S_KM_HM;T_KM_25;S_KM_25;T_KM_30;S_KM_30;T_KM_35;S_KM_35;T_KM_40;S_KM_40;T_KM_FN;S_KM_FN;ZZ_INVALID
2007;Berlin;M;Haile;Gebrselassie;1;2007-09-30 00:00:00;09:15:00;2007-09-30 07:15:00;00:14:44;884.0;00:29:27;1767.0;00:44:16;2656.0;00:59:10;3550.0;01:02:29;3749.0;01:14:05;4445.0;01:28:56;5336.0;01:43:38;6218.0;01:58:08;7088.0;02:04:26;7466.0;F
2007;Berlin;M;Abel;Kirui;2;2007-09-30 00:00:00;09:15:00;2007-09-30 07:15:00;00:14:57;897.0;00:30:00;1800.0;00:45:06;2706.0;01:00:16;3616.0;01:03:41;3821.0;01:15:22;4522.0;01:30:01;5401.0;01:44:52;6292.0;02:00:09;7209.0;02:06:51;7611.0;F
2007;Berlin;M;Salim;Kipsang;3;2007-09-30 00:00:00;09:15:00;2007-09-30 07:15:00;00:14:57;897.0;00:30:01;1801.0;00:45:06;2706.0;01:00:16;3616.0;01:03:41;3821.0;01:15:22;4522.0;01:30:05;5405.0;01:44:53;6293.0;02:00:27;7227.0;02:07:29;7649.0;F
2007;Berlin;M;Philip;Manyim;4;2007-09-30 00:00:00;09:15:00;2007-09-30 07:15:00;00:14:58;898.0;00:30:00;1800.0;00:45:08;2708.0;01:00:16;3616.0;01:03:41;3821.0;01:15:22;4522.0;01:30:01;5401.0;01:44:53;6293.0;02:00:26;7226.0;02:08:01;7681.0;F
2007;Berlin;M;Mesfin;Adimasu;5;2007-09-30 00:00:00;09:15:00;2007-09-30 07:15:00;00:14:57;897.0;00:30:00;1800.0;00:45:06;2706.0;01:00:16;3616.0;01:03:41;3821.0;01:15:22;4522.0;01:30:05;5405.0;01:45:14;6314.0;02:01:58;7318.0;02:09:49;7789.0;F
2007;Berlin;M;Lee;Troop;6;2007-09-30 00:00:00;09:15:00;2007-09-30 07:15:00;00:14:59;899.0;00:30:00;1800.0;00:45:08;2708.0;01:00:18;3618.0;01:03:43;3823.0;01:15:43;4543.0;01:31:39;5499.0;01:47:38;6458.0;02:03:37;7417.0;02:10:31;7831.0;F
2007;Berlin;M;Arkadiusz;Sowa;7;2007-09-30 00:00:00;09:15:00;2007-09-30 07:15:00;00:15:25;925.0;00:30:57;1857.0;00:46:28;2788.0;01:02:01;3721.0;01:05:29;3929.0;01:17:39;4659.0;01:33:25;5605.0;01:49:05;6545.0;02:05:02;7502.0;02:12:00;7920.0;F
2007;Berlin;M;Joseph;Kahugu;8;2007-09-30 00:00:00;09:15:00;2007-09-30 07:15:00;00:14:57;897.0;00:29:59;1799.0;00:45:06;2706.0;01:00:16;3616.0;01:03:41;3821.0;01:15:28;4528.0;01:31:09;5469.0;01:47:23;6443.0;02:04:35;7475.0;02:12:08;7928.0;F
2007;Berlin;M;Tomohiro;Seto;9;2007-09-30 00:00:00;09:15:00;2007-09-30 07:15:00;00:15:08;908.0;00:30:14;1814.0;00:45:31;2731.0;01:01:16;3676.0;01:04:47;3887.0;01:17:18;4638.0;01:33:25;5605.0;01:49:06;6546.0;02:05:03;7503.0;02:12:21;7941.0;F
2007;Berlin;M;Ignacio;Caceres;10;2007-09-30 00:00:00;09:15:00;2007-09-30 07:15:00;00:14:58;898.0;00:30:00;1800.0;00:45:07;2707.0;01:00:17;3617.0;01:03:42;3822.0;01:15:41;4541.0;01:31:41;5501.0;01:48:07;6487.0;02:05:08;7508.0;02:12:46;7966.0;F
