Jahr;Ges;Place_Overall;Number_Card;Name;Age_Group;Place_Age_Group;Place_Gender;Time_net;Time_gross;5K_Time;10K_Time;15K_Time;20K_Time;HK_Time;25K_Time;30K_Time;35K_Time;40K_Time;FK_Time
2019;M;1;3;BIRHANU LEGESE;Age Place (20-24);1;1;2:04:46;2:04:48;0:14:38;0:29:10;0:43:56;0:58:45;1:02:02;1:13:31;1:28:16;1:42:57;1:58:01;2:04:48
2019;M;2;10;BEDAN KAROKI;Age Place (25-29);1;2;2:06:47;2:06:48;0:14:39;0:29:11;0:43:58;0:58:46;1:02:02;1:13:29;1:28:17;1:43:16;1:59:17;2:06:48
2019;M;3;4;DICKSON CHUMBA;Age Place (30-34);1;3;2:08:43;2:08:44;0:14:37;0:29:09;0:43:56;0:58:46;1:02:03;1:13:30;1:28:30;1:44:09;2:01:02;2:08:44
2019;M;4;103;KARIUKI SIMON;Age Place (20-24);2;4;2:09:39;2:09:41;0:14:40;0:29:11;0:43:58;0:58:46;1:02:04;1:13:50;1:29:22;1:45:32;2:02:10;2:09:41
2019;M;5;203;KENSUKE HORIO;Age Place (20-24);3;5;兵庫県／Hyogo;2:10:19;0:14:55;0:29:59;0:45:04;1:00:04;1:03:27;1:15:16;1:30:42;1:46:33;2:02:59;2:10:21
2019;M;6;108;MASATO IMAI;Age Place (30-34);2;6;福岡県／Fukuoka;2:10:28;0:14:55;0:29:59;0:45:05;1:00:05;1:03:28;1:15:18;1:30:51;1:46:50;2:03:12;2:10:30
2019;M;7;116;TAKUYA FUJIKAWA;Age Place (25-29);2;7;広島県／Hiroshima;2:10:33;0:14:55;0:29:58;0:45:04;1:00:04;1:03:27;1:15:16;1:30:41;1:46:37;2:03:12;2:10:35
2019;M;8;28;DAICHI KAMINO;Age Place (25-29);3;8;東京都／Tokyo;2:11:03;0:14:57;0:29:59;0:45:06;1:00:31;1:04:03;1:16:28;1:32:14;1:48:02;2:03:59;2:11:05
2019;M;9;114;RYU TAKAKU;Age Place (25-29);4;9;東京都／Tokyo;2:11:47;0:14:55;0:30:00;0:45:05;1:00:04;1:03:27;1:15:17;1:30:42;1:46:38;2:03:44;2:11:49
2019;M;10;102;TADASHI ISSHIKI;Age Place (20-24);4;10;東京都／Tokyo;2:12:19;0:14:55;0:29:59;0:45:05;1:00:05;1:03:29;1:15:37;1:31:25;1:47:37;2:04:34;2:12:21
2019;W;54;51;RUTI AGA;Age Place (25-29);26;1;2:20:39;2:20:40;0:16:34;0:33:04;0:49:25;1:06:03;1:09:44;1:22:50;1:39:39;1:56:43;2:13:21;2:20:40
2019;W;57;59;HELEN TOLA;Age Place (20-24);14;2;2:21:00;2:21:01;0:16:34;0:33:05;0:49:26;1:06:03;1:09:45;1:22:50;1:39:39;1:56:44;2:13:29;2:21:01
2019;W;58;56;SHURE DEMISE;Age Place (20-24);15;3;2:21:04;2:21:05;0:16:35;0:33:05;0:49:27;1:06:03;1:09:45;1:22:51;1:39:40;1:56:44;2:13:31;2:21:05
2019;W;69;54;FLORENCE KIPLAGAT;Age Place (30-34);21;4;2:21:48;2:21:50;0:16:35;0:33:08;0:49:27;1:06:02;1:09:45;1:22:51;1:39:40;1:56:44;2:13:51;2:21:50
2019;W;83;57;BEDATU HIRPA;Age Place (16-19);1;5;2:23:42;2:23:43;0:16:35;0:33:05;0:49:26;1:06:03;1:09:45;1:22:51;1:39:40;1:56:44;2:15:22;2:23:43
2019;W;88;55;ABABEL YESHANEH;Age Place (25-29);36;6;2:24:01;2:24:02;0:16:34;0:33:04;0:49:25;1:06:02;1:09:44;1:22:50;1:39:39;1:56:44;2:14:31;2:24:02
2019;W;95;74;MAO ICHIYAMA;Age Place (20-24);25;7;京都府／Kyoto;2:24:32;0:16:40;0:33:16;0:50:03;1:06:45;1:10:29;1:23:31;1:40:32;1:58:12;2:16:32;2:24:33
2019;W;105;62;JOAN CHELIMO MELLY;Age Place (25-29);42;8;2:26:23;2:26:24;0:16:36;0:33:10;0:49:55;1:06:46;1:10:30;1:23:57;1:41:43;1:59:38;2:18:09;2:26:24
2019;W;165;60;ROSE CHELIMO;Age Place (25-29);59;9;2:30:34;2:30:35;0:16:36;0:33:11;0:50:03;1:06:58;1:10:55;1:25:08;1:43:42;2:02:22;2:21:34;2:30:35
2019;W;181;61;RUTH CHEBITOK;Age Place (25-29);66;10;2:31:18;2:31:19;0:16:34;0:33:07;0:49:54;1:06:47;1:10:35;1:24:33;1:43:02;2:02:18;2:22:31;2:31:19
